Variable,Model1_Coef,Model1_Pval,Model1_Coef_str,Model2_Coef,Model2_Pval,Model2_Coef_str
const,5976260.362460785,0.1482873042698854,5976260.3625,5881268.167165197,0.15404083156148898,5881268.1672
ai_intensity,-13741.909369401536,0.8810942788462351,-13741.9094,161413.027598801,0.576375217591578,161413.0276
exec_cognition,-218151.25862488803,0.838321435802522,-218151.2586,399321.9057905313,0.839696322901757,399321.9058
soe,-112516.75662519355,0.739673504095017,-112516.7566,375140.2089252766,0.49599453764148926,375140.2089
firm_size,-133243.12787184492,0.4061079852428118,-133243.1279,-142430.2703970035,0.376014362059659,-142430.2704
roa,-4668527.47685589,0.26108206181610516,-4668527.4769,-4701688.73181687,0.2579529506850897,-4701688.7318
ai_x_cognition,,,-,-328553.92971332103,0.6923741674378181,-328553.9297
ai_x_soe,,,-,-269479.57881605974,0.1992944770023679,-269479.5788
R-squared,0.002098851928390988,,0.0021,0.003920276777421905,,0.0039
Adj. R-squared,-0.004185160339062577,,-0.0042,-0.004883458150050313,,-0.0049
Observations,800.0,,800,800.0,,800
