code,name,industry
000009,中国宝安,未知
000028,国药一致,未知
000032,深桑达A,未知
000039,中集集团,未知
000048,京基智农,未知
000049,德赛电池,未知
000050,深天马A,未知
000058,深赛格,未知
000059,华锦股份,未知
000060,中金岭南,未知
000061,农 产 品,未知
000062,深圳华强,未知
000088,盐田港,未知
000099,中信海直,未知
000155,川能动力,未知
000415,渤海租赁,未知
000420,吉林化纤,未知
000422,湖北宜化,未知
000425,徐工机械,未知
000498,山东路桥,未知
000503,国新健康,未知
000513,丽珠集团,未知
000528,柳工,未知
000543,皖能电力,未知
000563,陕国投A,未知
000568,泸州老窖,未知
000582,北部湾港,未知
000591,太阳能,未知
000620,盈新发展,未知
000623,吉林敖东,未知
000625,长安汽车,未知
000629,钒钛股份,未知
000636,风华高科,未知
000657,中钨高新,未知
000661,长春高新,未知
000672,上峰水泥,未知
000680,山推股份,未知
000681,视觉中国,未知
000685,中山公用,未知
000688,国城矿业,未知
000690,宝新能源,未知
000709,河钢股份,未知
000712,锦龙股份,未知
000719,中原传媒,未知
000723,美锦能源,未知
000728,国元证券,未知
000729,燕京啤酒,未知
000756,新华制药,未知
000778,新兴铸管,未知
000783,长江证券,未知
000786,北新建材,未知
000795,英洛华,未知
000810,创维数字,未知
000813,德展健康,未知
000825,太钢不锈,未知
000828,东莞控股,未知
000830,鲁西化工,未知
000833,粤桂股份,未知
000837,秦川机床,未知
000860,顺鑫农业,未知
000878,云南铜业,未知
000880,潍柴重机,未知
000887,中鼎股份,未知
000898,鞍钢股份,未知
000902,新洋丰,未知
000913,钱江摩托,未知
000930,中粮科技,未知
000932,华菱钢铁,未知
000933,神火股份,未知
000937,冀中能源,未知
000938,紫光股份,未知
000950,重药控股,未知
000951,中国重汽,未知
000958,电投产融,未知
000959,首钢股份,未知
000963,华东医药,未知
000975,山金国际,未知
000977,浪潮信息,未知
000987,越秀资本,未知
001203,大中矿业,未知
001213,中铁特货,未知
001221,悍高集团,未知
001227,兰州银行,未知
001236,弘业期货,未知
001287,中电港,未知
001309,德明利,未知
001337,四川黄金,未知
001389,广合科技,未知
002004,华邦健康,未知
002007,华兰生物,未知
002008,大族激光,未知
002010,传化智联,未知
002011,盾安环境,未知
002017,东信和平,未知
002019,亿帆医药,未知
002020,京新药业,未知
002023,海特高新,未知
002025,航天电器,未知
002036,联创电子,未知
002041,登海种业,未知
002043,兔宝宝,未知
002049,紫光国微,未知
002051,中工国际,未知
002056,横店东磁,未知
002060,广东建工,未知
002061,浙江交科,未知
002064,华峰化学,未知
002074,国轩高科,未知
002075,沙钢股份,未知
002079,苏州固锝,未知
002080,中材科技,未知
002085,万丰奥威,未知
002100,天康生物,未知
002101,广东鸿图,未知
002126,银轮股份,未知
002127,南极电商,未知
002131,利欧股份,未知
002138,顺络电子,未知
002139,拓邦股份,未知
002142,宁波银行,未知
002145,钛能化学,未知
002151,北斗星通,未知
002152,广电运通,未知
002153,石基信息,未知
002158,汉钟精机,未知
002163,海南发展,未知
002170,芭田股份,未知
002183,怡亚通,未知
002192,融捷股份,未知
002194,武汉凡谷,未知
002203,海亮股份,未知
002212,天融信,未知
002241,歌尔股份,未知
002242,九阳股份,未知
002249,大洋电机,未知
002251,步步高,未知
002252,上海莱士,未知
002258,利尔化学,未知
002262,恩华药业,未知
002273,水晶光电,未知
002276,万马股份,未知
002287,奇正藏药,未知
002302,西部建设,未知
002311,海大集团,未知
002317,众生药业,未知
002332,仙琚制药,未知
002340,格林美,未知
002345,潮宏基,未知
002354,天娱数科,未知
002364,中恒电气,未知
002368,太极股份,未知
002384,东山精密,未知
002385,大北农,未知
002396,星网锐捷,未知
002399,海普瑞,未知
002408,齐翔腾达,未知
002409,雅克科技,未知
002410,广联达,未知
002416,爱施德,未知
002421,达实智能,未知
002422,科伦药业,未知
002423,中粮资本,未知
002429,兆驰股份,未知
002430,杭氧股份,未知
002432,九安医疗,未知
002444,巨星科技,未知
002460,赣锋锂业,未知
002461,珠江啤酒,未知
002463,沪电股份,未知
002465,海格通信,未知
002468,申通快递,未知
002472,双环传动,未知
002484,江海股份,未知
002488,金固股份,未知
002497,雅化集团,未知
002498,汉缆股份,未知
002500,山西证券,未知
002511,中顺洁柔,未知
002517,恺英网络,未知
002532,天山铝业,未知
002536,飞龙股份,未知
002543,万和电气,未知
002544,普天科技,未知
002557,洽洽食品,未知
002558,巨人网络,未知
002563,森马服饰,未知
002568,百润股份,未知
002583,海能达,未知
002588,史丹利,未知
002594,比亚迪,未知
002595,豪迈科技,未知
002601,龙佰集团,未知
002607,中公教育,未知
002608,江苏国信,未知
002612,朗姿股份,未知
002617,露笑科技,未知
002648,卫星化学,未知
002670,国盛证券,未知
002681,奋达科技,未知
002706,良信股份,未知
002714,牧原股份,未知
002716,湖南白银,未知
002736,国信证券,未知
002737,葵花药业,未知
002738,中矿资源,未知
002739,万达电影,未知
002745,木林森,未知
002755,奥赛康,未知
002777,久远银海,未知
002779,中坚科技,未知
002815,崇达技术,未知
002839,张家港行,未知
002850,科达利,未知
002881,美格智能,未知
002901,大博医疗,未知
002916,深南电路,未知
002928,华夏航空,未知
002938,鹏鼎控股,未知
002939,长城证券,未知
002941,新疆交建,未知
002945,华林证券,未知
002946,新乳业,未知
002947,恒铭达,未知
002966,苏州银行,未知
002967,广电计量,未知
002979,雷赛智能,未知
003031,中瓷电子,未知
003035,南网能源,未知
300003,乐普医疗,未知
300012,华测检测,未知
300015,爱尔眼科,未知
300024,机器人,未知
300026,红日药业,未知
300031,宝通科技,未知
300047,天源迪科,未知
300059,东方财富,未知
300065,海兰信,未知
300068,南都电源,未知
300070,碧水源,未知
300075,数字政通,未知
300077,国民技术,未知
300079,数码视讯,未知
300083,创世纪,未知
300085,银之杰,未知
300098,高新兴,未知
300101,振芯科技,未知
300115,长盈精密,未知
300119,瑞普生物,未知
300127,银河磁体,未知
300133,华策影视,未知
300166,东方国信,未知
300180,华峰超纤,未知
300183,东软载波,未知
300207,欣旺达,未知
300223,北京君正,未知
300224,正海磁材,未知
300229,拓尔思,未知
300251,光线传媒,未知
300276,三丰智能,未知
300285,国瓷材料,未知
300308,中际旭创,未知
300315,掌趣科技,未知
300316,晶盛机电,未知
300327,中颖电子,未知
300339,润和软件,未知
300346,南大光电,未知
300348,长亮科技,未知
300352,北信源,未知
300357,我武生物,未知
300373,扬杰科技,未知
300383,光环新网,未知
300394,天孚通信,未知
300395,菲利华,未知
300398,飞凯材料,未知
300409,道氏技术,未知
300413,芒果超媒,未知
300415,伊之密,未知
300432,富临精工,未知
300443,金雷股份,未知
300451,创业慧康,未知
300456,赛微电子,未知
300468,四方精创,未知
300474,景嘉微,未知
300475,香农芯创,未知
300482,万孚生物,未知
300492,华图山鼎,未知
300529,健帆生物,未知
300548,长芯博创,未知
300558,贝达药业,未知
300567,精测电子,未知
300568,星源材质,未知
300579,数字认证,未知
300598,诚迈科技,未知
300601,康泰生物,未知
300602,飞荣达,未知
300607,拓斯达,未知
300620,光库科技,未知
300624,万兴科技,未知
300627,华测导航,未知
300634,彩讯股份,未知
300638,广和通,未知
300641,正丹股份,未知
300655,晶瑞电材,未知
300661,圣邦股份,未知
300672,国科微,未知
300685,艾德生物,未知
300687,赛意信息,未知
300693,盛弘股份,未知
300723,一品红,未知
300724,捷佳伟创,未知
300725,药石科技,未知
300747,锐科激光,未知
300755,华致酒行,未知
300760,迈瑞医疗,未知
300761,立华股份,未知
300772,运达股份,未知
300777,中简科技,未知
300782,卓胜微,未知
300803,指南针,未知
300809,华辰装备,未知
300820,英杰电气,未知
300821,东岳硅材,未知
300841,康华生物,未知
300855,图南股份,未知
300888,稳健医疗,未知
300910,瑞丰新材,未知
300917,特发服务,未知
300919,中伟新材,未知
300953,震裕科技,未知
300972,万辰集团,未知
300979,华利集团,未知
301018,申菱环境,未知
301029,怡合达,未知
301035,润丰股份,未知
301050,雷电微力,未知
301061,匠心家居,未知
301071,力量钻石,未知
301078,孩子王,未知
301087,可孚医疗,未知
301091,深城交,未知
301095,广立微,未知
301153,中科江南,未知
301171,易点天下,未知
301175,中科环保,未知
301205,联特科技,未知
301207,华兰疫苗,未知
301215,中汽股份,未知
301217,铜冠铜箔,未知
301219,腾远钴业,未知
301236,软通动力,未知
301238,瑞泰新材,未知
301262,海看股份,未知
301263,泰恩康,未知
301268,铭利达,未知
301301,川宁生物,未知
301325,曼恩斯特,未知
301363,美好医疗,未知
301371,敷尔佳,未知
301376,致欧科技,未知
301458,钧崴电子,未知
301487,盟固利,未知
301500,飞南资源,未知
301510,固高科技,未知
301511,德福科技,未知
301522,上大股份,未知
301526,国际复材,未知
301536,星宸科技,未知
301550,斯菱智驱,未知
301556,托普云农,未知
301565,中仑新材,未知
301571,国科天成,未知
301606,绿联科技,未知
301622,英思特,未知
301631,壹连科技,未知
302132,中航成飞,未知
600008,首创环保,未知
600009,上海机场,未知
600011,华能国际,未知
600012,皖通高速,未知
600016,民生银行,未知
600020,中原高速,未知
600021,上海电力,未知
600022,山东钢铁,未知
600023,浙能电力,未知
600029,南方航空,未知
600030,中信证券,未知
600032,浙江新能,未知
600036,招商银行,未知
600038,中直股份,未知
600048,保利发展,未知
600050,中国联通,未知
600055,万东医疗,未知
600059,古越龙山,未知
600060,海信视像,未知
600063,皖维高新,未知
600066,宇通客车,未知
600094,大名城,未知
600095,湘财股份,未知
600098,广州发展,未知
600105,永鼎股份,未知
600109,国金证券,未知
600111,北方稀土,未知
600113,浙江东日,未知
600114,东睦股份,未知
600116,三峡水利,未知
600123,兰花科创,未知
600131,国网信通,未知
600155,华创云信,未知
600157,永泰能源,未知
600158,中体产业,未知
600160,巨化股份,未知
600163,中闽能源,未知
600166,福田汽车,未知
600176,中国巨石,未知
600179,安通控股,未知
600183,生益科技,未知
600186,莲花控股,未知
600188,兖矿能源,未知
600201,生物股份,未知
600208,衢州发展,未知
600210,紫江企业,未知
600246,万通发展,未知
600248,陕建股份,未知
600252,中恒集团,未知
600258,首旅酒店,未知
600259,中稀有色,未知
600267,海正药业,未知
600273,嘉化能源,未知
600282,南钢股份,未知
600292,电投水电,未知
600298,安琪酵母,未知
600299,安迪苏,未知
600301,华锡有色,未知
600305,恒顺醋业,未知
600309,万华化学,未知
600316,洪都航空,未知
600325,华发股份,未知
600328,中盐化工,未知
600329,达仁堂,未知
600331,宏达股份,未知
600335,国机汽车,未知
600339,中油工程,未知
600346,恒力石化,未知
600363,联创光电,未知
